compound_id,assay_id,value,qualifier,units,n,source_table,source_note
1,cdk2_e1_ic50,607.0,=,nM,,Fig2,
1,jak2_ic50,1.0,<,nM,,Fig2,
2,cdk2_e1_ic50,16.0,=,nM,,Fig2,
2,cdk1_b1_ic50,1021.0,=,nM,,Fig2,
2,jak2_ic50,10000.0,>,nM,,Fig2,
3,cdk2_e1_ic50,3.2,=,nM,,Fig2,
3,cdk1_b1_ic50,407.0,=,nM,,Fig2,
3,jak2_ic50,10000.0,>,nM,,Fig2,
4,cdk2_e1_ic50,2.0,=,nM,,T1,
4,cdk1_b1_ic50,257.0,=,nM,,T1,
4,cdk1_fold,130.0,=,fold,,T1,
4,cdk4_d1_ic50,3.2,=,nM,,T1,
4,cdk6_d3_ic50,10.0,=,nM,,T1,
4,wb_pRb,5046.0,=,nM,,T1,
4,sgf_solubility,11.0,=,ug/mL,,T1,
4,h_cl,1.1,=,L/h/kg,,T1,
5,cdk2_e1_ic50,6.1,=,nM,,T1,
5,cdk1_b1_ic50,174.0,=,nM,,T1,
5,cdk1_fold,29.0,=,fold,,T1,
5,cdk4_d1_ic50,20.0,=,nM,,T1,
5,cdk6_d3_ic50,153.0,=,nM,,T1,
5,wb_pRb,708.0,=,nM,,T1,
5,sgf_solubility,400.0,>,ug/mL,,T1,
5,h_cl,0.7,=,L/h/kg,,T1,
6,cdk2_e1_ic50,2.1,=,nM,,T1,
6,cdk1_b1_ic50,350.0,=,nM,,T1,
6,cdk1_fold,170.0,=,fold,,T1,
6,cdk4_d1_ic50,14.0,=,nM,,T1,
6,cdk6_d3_ic50,31.0,=,nM,,T1,
6,wb_pRb,5111.0,=,nM,,T1,
6,sgf_solubility,46.0,=,ug/mL,,T1,
6,h_cl,0.5,<,L/h/kg,,T1,
7,cdk2_e1_ic50,0.56,=,nM,,T1,
7,cdk1_b1_ic50,90.0,=,nM,,T1,
7,cdk1_fold,160.0,=,fold,,T1,
7,cdk4_d1_ic50,10.0,=,nM,,T1,
7,cdk6_d3_ic50,24.0,=,nM,,T1,
7,wb_pRb,823.0,=,nM,,T1,
7,h_cl,1.0,=,L/h/kg,,T1,
8,cdk2_e1_ic50,1.8,=,nM,,T1,
8,cdk1_b1_ic50,205.0,=,nM,,T1,
8,cdk1_fold,110.0,=,fold,,T1,
8,cdk4_d1_ic50,11.0,=,nM,,T1,
8,cdk6_d3_ic50,22.0,=,nM,,T1,
8,wb_pRb,709.0,=,nM,,T1,
8,sgf_solubility,3.0,=,ug/mL,,T1,
8,h_cl,0.5,<,L/h/kg,,T1,
9,cdk2_e1_ic50,0.42,=,nM,,T1,
9,cdk1_b1_ic50,63.0,=,nM,,T1,
9,cdk1_fold,150.0,=,fold,,T1,
