compound_id,assay_id,value,qualifier,units,n,source_table,source_note
4,fgfr3_ic50,68.0,=,nM,,T1,
4,fgfr3_v555l_ic50,22.0,=,nM,,T1,
4,fgfr1_ic50,918.0,=,nM,,T1,
5,fgfr3_ic50,4.6,=,nM,,T1,
5,fgfr1_ic50,86.0,=,nM,,T1,
6,fgfr3_ic50,13.0,=,nM,,T2,
6,fgfr1_ic50,428.0,=,nM,,T2,
7,fgfr3_ic50,34.0,=,nM,,T2,
7,fgfr1_ic50,420.0,=,nM,,T2,
8,fgfr3_ic50,56.0,=,nM,,T2,
8,fgfr1_ic50,477.0,=,nM,,T2,
9,fgfr3_ic50,54.0,=,nM,,T2,
9,fgfr1_ic50,365.0,=,nM,,T2,
10,fgfr3_ic50,1177.0,=,nM,,T2,
10,fgfr1_ic50,2648.0,=,nM,,T2,
11,fgfr3_ic50,441.0,=,nM,,T2,
11,fgfr1_ic50,362.0,=,nM,,T2,
12,fgfr3_ic50,247.0,=,nM,,T2,
12,fgfr1_ic50,415.0,=,nM,,T2,
13,fgfr3_ic50,515.0,=,nM,,T3,
13,fgfr1_ic50,1683.0,=,nM,,T3,
14,fgfr3_ic50,18.0,=,nM,,T3,
14,fgfr1_ic50,155.0,=,nM,,T3,
15,fgfr3_ic50,167.0,=,nM,,T3,
15,fgfr1_ic50,283.0,=,nM,,T3,
16,fgfr3_ic50,1.1,=,nM,,T3,
16,fgfr1_ic50,71.0,=,nM,,T3,
16,baf3_ic50,29.0,=,nM,,T3,
17,fgfr3_ic50,2.4,=,nM,,T3,
17,fgfr1_ic50,117.0,=,nM,,T3,
17,baf3_ic50,42.0,=,nM,,T3,
18,fgfr3_ic50,41.0,=,nM,,T3,
18,fgfr1_ic50,433.0,=,nM,,T3,
19,fgfr3_ic50,0.9,=,nM,,T3,
19,fgfr1_ic50,30.0,=,nM,,T3,
19,baf3_ic50,15.0,=,nM,,T3,
19,fgfr3_ic50,0.9,=,nM,,T4,
19,fgfr1_ic50,36.0,=,nM,,T4,
19,fgfr3_v555l_ic50,0.5,=,nM,,T4,
19,baf3_ic50,15.0,=,nM,,T4,
19,flt3_ic50,25.0,=,nM,,T4,
19,trka_ic50,118.0,=,nM,,T4,
19,kit_ic50,82.0,=,nM,,T4,
19,pdgfrb_ic50,66.0,=,nM,,T4,
20,fgfr3_ic50,2.2,=,nM,,T4,
20,fgfr1_ic50,147.0,=,nM,,T4,
20,baf3_ic50,969.0,=,nM,,T4,
20,flt3_ic50,1343.0,=,nM,,T4,
20,trka_ic50,7304.0,=,nM,,T4,
20,kit_ic50,384.0,=,nM,,T4,
20,pdgfrb_ic50,370.0,=,nM,,T4,
5,fgfr3_ic50,4.6,=,nM,,T4,
5,fgfr1_ic50,86.0,=,nM,,T4,
5,baf3_ic50,33.0,=,nM,,T4,
5,flt3_ic50,12.0,=,nM,,T4,
5,trka_ic50,58.0,=,nM,,T4,
5,kit_ic50,33.0,=,nM,,T4,
5,pdgfrb_ic50,38.0,=,nM,,T4,
21,fgfr3_ic50,2.6,=,nM,,T4,
21,fgfr1_ic50,60.0,=,nM,,T4,
21,baf3_ic50,14.0,=,nM,,T4,
21,flt3_ic50,8.0,=,nM,,T4,
21,trka_ic50,11.0,=,nM,,T4,
21,kit_ic50,180.0,=,nM,,T4,
21,pdgfrb_ic50,348.0,=,nM,,T4,
22,fgfr3_ic50,1.3,=,nM,,T4,
22,fgfr1_ic50,39.0,=,nM,,T4,
22,fgfr3_v555l_ic50,5.3,=,nM,,T4,
22,fgfr3_v555m_ic50,3.2,=,nM,,T4,
22,baf3_ic50,5.4,=,nM,,T4,
22,flt3_ic50,114.0,=,nM,,T4,
22,trka_ic50,363.0,=,nM,,T4,
22,kit_ic50,22.0,=,nM,,T4,
22,pdgfrb_ic50,126.0,=,nM,,T4,
23,fgfr3_ic50,0.7,=,nM,,T4,
23,fgfr1_ic50,46.0,=,nM,,T4,
23,baf3_ic50,12.0,=,nM,,T4,
23,flt3_ic50,97.0,=,nM,,T4,
23,trka_ic50,293.0,=,nM,,T4,
23,kit_ic50,1657.0,=,nM,,T4,
23,pdgfrb_ic50,1386.0,=,nM,,T4,
24,fgfr3_ic50,0.9,=,nM,,T4,
24,fgfr1_ic50,49.0,=,nM,,T4,
24,fgfr3_v555l_ic50,2.6,=,nM,,T4,
24,fgfr3_v555m_ic50,0.9,=,nM,,T4,
24,baf3_ic50,13.0,=,nM,,T4,
24,flt3_ic50,98.0,=,nM,,T4,
24,trka_ic50,443.0,=,nM,,T4,
24,kit_ic50,619.0,=,nM,,T4,
24,pdgfrb_ic50,800.0,=,nM,,T4,
25,fgfr3_ic50,0.6,=,nM,,T4,
25,fgfr1_ic50,21.0,=,nM,,T4,
25,baf3_ic50,6.8,=,nM,,T4,
25,flt3_ic50,155.0,=,nM,,T4,
25,trka_ic50,285.0,=,nM,,T4,
25,kit_ic50,1449.0,=,nM,,T4,
