compound_id,assay_id,value,qualifier,units,n,source_table,source_note
4,jak1_ic50,20.0,=,nM,,T1,
4,jak2_ic50,170.0,=,nM,,T1,
4,jak2_jak1_fold,9.0,=,fold,,T1,
4,proj_h_cl,0.1,=,L/h/kg,,T1,
5,jak1_ic50,6.3,=,nM,,T1,
5,jak2_ic50,135.0,=,nM,,T1,
5,jak2_jak1_fold,21.0,=,fold,,T1,
5,ina6_ic50,1600.0,=,nM,,T1,
5,wb_il6,406.0,=,nM,,T1,
5,wb_tpo,2800.0,=,nM,,T1,
5,wb_tpo_il6_fold,7.0,=,fold,,T1,
5,caco2_papp,0.3,=,1e-6 cm/s,,T1,
5,proj_h_cl,1.1,>,L/h/kg,,T1,
5,proj_h_f,7.0,=,%,,T1,
6,jak1_ic50,7.5,=,nM,,T1,
6,jak2_ic50,178.0,=,nM,,T1,
6,jak2_jak1_fold,24.0,=,fold,,T1,
6,ina6_ic50,2000.0,=,nM,,T1,
6,wb_il6,1051.0,=,nM,,T1,
6,wb_tpo,6350.0,=,nM,,T1,
6,wb_tpo_il6_fold,6.0,=,fold,,T1,
6,caco2_papp,1.3,=,1e-6 cm/s,,T1,
6,proj_h_cl,1.1,>,L/h/kg,,T1,
6,proj_h_f,10.0,<,%,,T1,
7,jak1_ic50,3.3,=,nM,,T1,
7,jak2_ic50,48.0,=,nM,,T1,
7,jak2_jak1_fold,15.0,=,fold,,T1,
7,ina6_ic50,612.0,=,nM,,T1,
7,wb_il6,736.0,=,nM,,T1,
7,wb_tpo,1550.0,=,nM,,T1,
7,wb_tpo_il6_fold,2.0,=,fold,,T1,
7,caco2_papp,2.1,=,1e-6 cm/s,,T1,
7,proj_h_cl,1.1,>,L/h/kg,,T1,
7,proj_h_f,10.0,<,%,,T1,
8,jak1_ic50,1.3,=,nM,,T1,
8,jak2_ic50,16.0,=,nM,,T1,
8,jak2_jak1_fold,12.0,=,fold,,T1,
8,ina6_ic50,226.0,=,nM,,T1,
8,wb_il6,321.0,=,nM,,T1,
8,wb_tpo,1600.0,=,nM,,T1,
8,wb_tpo_il6_fold,5.0,=,fold,,T1,
8,caco2_papp,2.3,=,1e-6 cm/s,,T1,
8,proj_h_cl,1.1,>,L/h/kg,,T1,
8,proj_h_f,11.0,=,%,,T1,
9,jak1_ic50,1.6,=,nM,,T1,
9,jak2_ic50,31.0,=,nM,,T1,
9,jak2_jak1_fold,19.0,=,fold,,T1,
9,ina6_ic50,306.0,=,nM,,T1,
9,wb_il6,331.0,=,nM,,T1,
9,wb_tpo,4050.0,=,nM,,T1,
9,wb_tpo_il6_fold,12.0,=,fold,,T1,
9,caco2_papp,0.9,=,1e-6 cm/s,,T1,
9,proj_h_cl,0.7,=,L/h/kg,,T1,
9,proj_h_f,42.0,=,%,,T1,
9,rat_cl_hbf,29.0,=,%,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,rat_vdss,0.87,=,L/kg,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,rat_iv_t_half,5.3,=,h,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,rat_po_auc,3793.0,=,nM.h,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,rat_po_f,31.0,=,%,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,cyno_cl_hbf,25.0,=,%,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,cyno_vdss,0.57,=,L/kg,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,cyno_iv_t_half,1.9,=,h,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,cyno_po_auc,1549.0,=,nM.h,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,cyno_po_f,9.0,=,%,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,dog_cl_hbf,49.0,=,%,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,dog_vdss,0.54,=,L/kg,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,dog_iv_t_half,2.8,=,h,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,dog_po_auc,610.0,=,nM.h,,T2,Phosphate salt in dog; TFA salt in rat and cyno
9,dog_po_f,6.0,=,%,,T2,Phosphate salt in dog; TFA salt in rat and cyno
3,rat_cl_hbf,100.0,=,%,,T2,"Itacitinib, the prior clinical candidate"
3,rat_vdss,2.9,=,L/kg,,T2,"Itacitinib, the prior clinical candidate"
3,rat_iv_t_half,1.1,=,h,,T2,"Itacitinib, the prior clinical candidate"
3,rat_po_auc,532.0,=,nM.h,,T2,"Itacitinib, the prior clinical candidate"
3,rat_po_f,19.0,=,%,,T2,"Itacitinib, the prior clinical candidate"
3,cyno_cl_hbf,26.0,=,%,,T2,"Itacitinib, the prior clinical candidate"
3,cyno_vdss,0.76,=,L/kg,,T2,"Itacitinib, the prior clinical candidate"
3,cyno_iv_t_half,1.2,=,h,,T2,"Itacitinib, the prior clinical candidate"
3,cyno_po_auc,2610.0,=,nM.h,,T2,"Itacitinib, the prior clinical candidate"
3,cyno_po_f,19.0,=,%,,T2,"Itacitinib, the prior clinical candidate"
3,dog_cl_hbf,37.0,=,%,,T2,"Itacitinib, the prior clinical candidate"
3,dog_vdss,0.82,=,L/kg,,T2,"Itacitinib, the prior clinical candidate"
3,dog_iv_t_half,1.2,=,h,,T2,"Itacitinib, the prior clinical candidate"
3,dog_po_auc,5630.0,=,nM.h,,T2,"Itacitinib, the prior clinical candidate"
3,dog_po_f,43.0,=,%,,T2,"Itacitinib, the prior clinical candidate"
9,jak1_ic50,1.5,=,nM,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,jak2_ic50,31.0,=,nM,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,jak2_jak1_fold,21.0,=,fold,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,ina6_ic50,308.0,=,nM,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,wb_il6,310.0,=,nM,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,wb_tpo,3400.0,=,nM,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,wb_tpo_il6_fold,11.0,=,fold,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,caco2_papp,0.9,=,1e-6 cm/s,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,proj_h_cl,0.7,=,L/h/kg,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,proj_h_f,42.0,=,%,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,rat_cl_hbf,29.0,=,%,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,rat_iv_t_half,5.3,=,h,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,rat_po_auc,3793.0,=,nM.h,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,rat_po_t_half,5.7,=,h,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,rat_po_f,31.0,=,%,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,cyno_cl_hbf,25.0,=,%,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
9,cyno_iv_t_half,1.9,=,h,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2 and 4"
